ano;GEOCODIGO;cidade;rede;educacao_infantil;anos_iniciais;anos_finais;ensino_fundamental;ensino_medio;eja_fundamental;eja_medio
2021;4300034;ACEGUÁ;Total;81.8;65.6;64.6;65;48.8;60;40
2021;4300059;ÁGUA SANTA;Total;65;75.9;50.7;60.4;51.9;0;0
2021;4300109;AGUDO;Total;77.6;72.7;81.4;76.7;76.8;0;59.1
2021;4300208;AJURICABA;Total;62.3;74.9;59.8;68;70.8;0;0
2021;4300307;ALECRIM;Total;65.1;71.8;37;45.1;59.6;0;0
2021;4300406;ALEGRETE;Total;57.4;79.4;59.1;68.9;57.1;42.7;51.5
2021;4300455;ALEGRIA;Total;87.5;55.6;63.9;59.3;73.6;10.5;0
2021;4300471;ALMIRANTE TAMANDARÉ DO SUL;Total;45.5;64.7;49.6;55.2;52.6;0;0
2021;4300505;ALPESTRE;Total;75;58.6;38.9;47.3;50.9;9.7;0
2021;4300554;ALTO ALEGRE;Total;90;65.1;61.8;62.9;69.2;0;0
2021;4300570;ALTO FELIZ;Total;69.2;68.9;64.1;66.2;64.1;0;0
2021;4300604;ALVORADA;Total;52.7;70.8;61.7;67.2;66.6;51.2;61.7
2021;4300638;AMARAL FERRADOR;Total;52.9;75.6;64;69.6;58.8;51.9;0
2021;4300646;AMETISTA DO SUL;Total;74.2;90.8;74.8;81.4;62.6;0;0
2021;4300661;ANDRÉ DA ROCHA;Total;44.4;70;100;84.2;60.5;0;0
2021;4300703;ANTA GORDA;Total;61.3;38.3;48.4;42.5;43.2;0;0
2021;4300802;ANTÔNIO PRADO;Total;56.8;67.3;59.3;62.9;54.7;36.1;61.5
2021;4300851;ARAMBARÉ;Total;100;81.6;66.3;72.6;66.7;66.7;0
2021;4300877;ARARICÁ;Total;78.9;70;70.7;70.3;66.2;44.4;0
2021;4300901;ARATIBA;Total;87;78.9;47.2;61.7;66.7;0;0
2021;4301008;ARROIO DO MEIO;Total;45;75.7;68.4;72.6;69.1;55.6;0
2021;4301057;ARROIO DO SAL;Total;52.5;75.1;81.8;78.2;76.6;80;71.4
2021;4301073;ARROIO DO PADRE;Total;54.5;73.2;88.6;79.1;84;68.4;0
2021;4301107;ARROIO DOS RATOS;Total;51.9;80.4;70.8;76.2;54.9;27.5;47.7
2021;4301206;ARROIO DO TIGRE;Total;52.8;49.7;60.7;55.6;69.1;0;37.5
2021;4301305;ARROIO GRANDE;Total;64.1;73.9;63.9;68.5;75;29.4;55.8
2021;4301404;ARVOREZINHA;Total;48;57.7;49.4;53.3;65.5;29.4;64.3
2021;4301503;AUGUSTO PESTANA;Total;76.7;81.8;69.2;74.6;82.6;0;0
2021;4301552;ÁUREA;Total;63.6;86.1;64.9;70.8;55.7;0;0
2021;4301602;BAGÉ;Total;44.5;76.6;61.6;69.1;65.6;34.8;42.8
2021;4301636;BALNEÁRIO PINHAL;Total;60.7;76.7;81.3;79.1;77.5;63.6;64.3
2021;4301651;BARÃO;Total;69.6;67.2;52.6;59.2;72.7;0;0
2021;4301701;BARÃO DE COTEGIPE;Total;59.1;82.1;60;72.8;67;0;0
2021;4301750;BARÃO DO TRIUNFO;Total;56.5;80.2;64.5;73.5;59;0;0
2021;4301800;BARRACÃO;Total;80;88;61.2;74.5;76.1;0;0
2021;4301859;BARRA DO GUARITA;Total;38.9;73.2;71.7;72.5;78.9;63.6;73.3
2021;4301875;BARRA DO QUARAÍ;Total;71.5;62.6;64.6;63.6;52.1;42.5;0
2021;4301909;BARRA DO RIBEIRO;Total;51.8;54.5;48.7;51.3;54.5;44.4;0
2021;4301925;BARRA DO RIO AZUL;Total;100;73.3;52.7;60.5;58.5;0;0
2021;4301958;BARRA FUNDA;Total;66.7;85;63;74.6;48;55.6;0
2021;4302006;BARROS CASSAL;Total;55.9;68.7;57.1;62.8;67.4;50.7;0
2021;4302055;BENJAMIN CONSTANT DO SUL;Total;18.2;50;35.4;38.8;41.8;0;23.1
2021;4302105;BENTO GONÇALVES;Total;68.8;82.9;75.7;79.8;78;53.7;50.7
2021;4302154;BOA VISTA DAS MISSÕES;Total;81.8;90.3;48.9;67.3;47.5;0;0
2021;4302204;BOA VISTA DO BURICÁ;Total;84;89;64.9;77;69.7;11.1;0
2021;4302220;BOA VISTA DO CADEADO;Total;55.6;64;70;66.7;61.5;0;0
2021;4302238;BOA VISTA DO INCRA;Total;51.7;41.2;58.6;51.5;56.8;22.2;0
2021;4302253;BOA VISTA DO SUL;Total;14.3;46;69.1;59.3;73.6;0;0
2021;4302303;BOM JESUS;Total;74.5;85.3;62.6;72.7;67.6;21.6;0
2021;4302352;BOM PRINCÍPIO;Total;56.3;79.8;71.1;76.6;76.2;0;0
