pais;codigo;continente;renda;pib_dolares_precos_correntes;populacao;expectativa_de_vida_ao_nascer_mulheres;expectativa_de_vida_ao_nascer_homens;taxa_de_fertilidade;nascimentos_por_1000_mulheres_entre_15_e_19_anos;dias_necessarios_para_abrir_negocio;proporcao_de_mulheres_no_parlamento_nacional
Aruba;ABW;America;Renda Alta;2496648045;106766;78.774;73.908;1.901;18.1728;;
Afghanistan;AFG;Asia;Renda Baixa;20116137326;38928341;66.744;63.708;4.176;57.509;8.5;27.01612903
Angola;AGO;Africa;Renda Média-Baixa;53619071176;32866268;64.383;58.744;5.371;142.822;36;30
Albania;ALB;Europa;Renda Média-Alta;15131866271;2837849;80.256;77.163;1.58;19.4332;4.5;29.50819672
Andorra;AND;Europa;Renda Alta;2891001149;77265;;;;;;46.42857143
United Arab Emirates;ARE;Asia;Renda Alta;3.59E+11;9890400;79.458;77.442;1.369;4.5684;3.8;50
Antigua and Barbuda;ATG;America;Renda Alta;1370281481;97928;78.232;75.984;1.978;39.929;19;11.11111111
Armenia;ARM;Asia;Renda Média-Alta;12641209802;2963234;78.652;71.453;1.76;19.678;4;23.48484848
American Samoa;ASM;Oceania;Renda Média-Alta;709000000;55197;;;;;;
Bahamas;BHS;America;Renda Alta;13192800000;389486;76.081;71.659;1.743;28.4498;21.5;12.82051282
Australia;AUS;Oceania;Renda Alta;1.33E+12;25693267;85.3;81.2;1.581;10.5474;2;30.46357616
Austria;AUT;Europa;Renda Alta;4.33E+11;8916864;83.6;78.9;1.44;6.4532;21;39.3442623
Azerbaijan;AZE;Asia;Renda Média-Alta;42693000000;10093121;75.574;70.63;1.7;57.8168;3.5;17.3553719
Burundi;BDI;Africa;Renda Baixa;2780510625;11890781;63.721;60.086;5.237;53.0748;5;38.21138211
Belgium;BEL;Europa;Renda Alta;5.22E+11;11544241;83.1;78.6;1.55;4.4092;5;41.33333333
Benin;BEN;Africa;Renda Média-Baixa;15651545332;12123198;63.646;60.494;4.7;79.9172;8.5;7.228915663
Burkina Faso;BFA;Africa;Renda Baixa;17933606353;20903278;62.724;61.119;5.029;97.5394;13;6.299212598
Bangladesh;BGD;Asia;Renda Média-Baixa;3.74E+11;164689383;74.893;71.13;1.987;81.0144;19.5;20.91690544
