trimestre;pib;crescimento_pib
01/01/1996;99.55;
01/04/1996;100.44;0.894023104
01/07/1996;104.37;3.912783751
01/10/1996;103.3;-1.025198812
01/01/1997;104.31;0.977734753
01/04/1997;105.02;0.680663407
01/07/1997;106.33;1.247381451
01/10/1997;107.15;0.77118405
01/01/1998;105.08;-1.931871209
01/04/1998;106.78;1.617814998
01/07/1998;106.85;0.065555347
01/10/1998;105.58;-1.188582124
01/01/1999;105.93;0.331502178
01/04/1999;106.18;0.236004909
01/07/1999;106.36;0.169523451
01/10/1999;107.85;1.400902595
01/01/2000;108.98;1.047751507
01/04/2000;110.52;1.413103322
01/07/2000;111.82;1.176257691
01/10/2000;113.2;1.234126274
01/01/2001;113.62;0.371024735
01/04/2001;113.06;-0.492870973
01/07/2001;112.47;-0.521846807
01/10/2001;112.16;-0.275629057
01/01/2002;114.74;2.300285307
01/04/2002;115.38;0.557782813
01/07/2002;116.81;1.239382909
01/10/2002;117.99;1.010187484
01/01/2003;117.49;-0.423764726
01/04/2003;116.47;-0.868158992
01/07/2003;117.58;0.953035116
01/10/2003;118.79;1.029086579
01/01/2004;120.47;1.41426046
01/04/2004;123.77;2.739271188
01/07/2004;125.32;1.252322857
01/10/2004;126.28;0.76603894
01/01/2005;127.23;0.752296484
01/04/2005;128.98;1.375461762
01/07/2005;127.99;-0.767560862
01/10/2005;129.6;1.257910774
01/01/2006;131.81;1.705246914
01/04/2006;132.15;0.257947045
01/07/2006;134.3;1.626939084
01/10/2006;135.89;1.183916605
01/01/2007;138.6;1.994260063
01/04/2007;140.76;1.558441558
01/07/2007;142.21;1.030122194
01/10/2007;144.41;1.547007946
01/01/2008;146.05;1.135655426
01/04/2008;149.44;2.321122903
01/07/2008;151.63;1.465471092
01/10/2008;145.89;-3.785530568
01/01/2009;143.87;-1.384604839
01/04/2009;146.47;1.807187044
01/07/2009;149.91;2.34860381
01/10/2009;153.7;2.528183577
01/01/2010;157.2;2.277163305
01/04/2010;158.73;0.973282443
01/07/2010;160.36;1.026901027
01/10/2010;162.53;1.353205288
01/01/2011;164.89;1.452039623
01/04/2011;166.48;0.964279216
01/07/2011;166.13;-0.210235464
01/10/2011;167.5;0.82465539
01/01/2012;165.34;-1.289552239
01/04/2012;168.18;1.717672674
01/07/2012;171.11;1.742180997
01/10/2012;171.07;-0.023376775
01/01/2013;171.84;0.450108143
01/04/2013;174.75;1.693435754
01/07/2013;175.31;0.320457797
01/10/2013;175.5;0.108379442
01/01/2014;177.09;0.905982906
01/04/2014;174.4;-1.519001638
01/07/2014;174.35;-0.028669725
01/10/2014;175.22;0.498996272
01/01/2015;174.06;-0.662024883
01/04/2015;169.53;-2.602550845
01/07/2015;167;-1.492361234
01/10/2015;165.68;-0.790419162
01/01/2016;163.04;-1.593433124
01/04/2016;163.96;0.564278705
01/07/2016;162.91;-0.640400098
01/10/2016;162.61;-0.184150758
01/01/2017;164.4;1.100793309
01/04/2017;165.68;0.778588808
01/07/2017;166.19;0.307822308
01/10/2017;166.87;0.409170227
01/01/2018;167.93;0.635225025
01/04/2018;167.84;-0.053593759
01/07/2018;169.57;1.030743565
01/10/2018;168.99;-0.342041635
01/01/2019;169.68;0.408308184
01/04/2019;170.63;0.559877416
01/07/2019;170.81;0.105491414
01/10/2019;171.41;0.35126749
01/01/2020;167.37;-2.356922
01/04/2020;152.36;-8.968154388
01/07/2020;164.54;7.994224206
01/10/2020;169.76;3.172480856
01/01/2021;171.57;1.066211122
01/04/2021;171.09;-0.27976919
01/07/2021;171.2;0.064293647
01/10/2021;172.52;0.771028037
01/01/2022;174.46;1.124507304
01/04/2022;176.61;1.232374183
